Product Name,Price (Ksh),Discount (%),Total Reviews
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starlit Black","KSh 12,140",No discount,No reviews
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Starry Blue (2YRs WRTY)","KSh 12,599",No discount,No reviews
"Itel A05s 6.6"", 32GB + 2GB RAM, Dual SIM, 4000mAh, 4G LTE -?Meadow Green (1YR WRTY)","KSh 6,590",No discount,No reviews
"Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black, (2YRs WRTY)","KSh 8,799",No discount,No reviews
"VILLAON V101 177"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)",KSh 699,No discount,No reviews
"Itel A80, 6.7"", 4GB RAM + 128GB, 5000mAh, Black","KSh 12,600",No discount,No reviews
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Star Blue (2YRs WRTY)","KSh 8,999",No discount,No reviews
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Iceberge blue","KSh 5,277",No discount,No reviews
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRs WRTY)","KSh 11,599",No discount,No reviews
"Amtec 32R1S, 32"" Inch Smart Android TV 1GB DDR,8GB ROM,4-CORE LED TV (1YR WRTY)","KSh 11,099",No discount,No reviews
Lyons LES3211W 32” Frameless Android Smart TV - Black (1YR WRTY),"KSh 10,399",No discount,No reviews
"TCL 50"" P635 4K HDR Google TV - Black","KSh 40,499",No discount,No reviews
"Hisense 43"" A4K Series Smart (2YRS WRTY)","KSh 27,699",No discount,No reviews
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 18,499",No discount,No reviews
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black (1YR WRTY)","KSh 26,099",No discount,No reviews
"Vision Plus 50"" 4K Frameless, Netflix Official Smart Content TV +Free Wall Mount(2YRs WRTY)","KSh 31,999",No discount,No reviews
Hisense 240W Dolby Digital Audio Home Cinema Soundbar - HS2100 (2YRS WRTY),"KSh 13,639",No discount,No reviews
Vision Plus VP2110SB - 2.1CH Soundbar With Bluetooth - Black (2YRs WRTY),"KSh 6,499",No discount,No reviews
"Skyworth 43E5500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)","KSh 24,999",No discount,No reviews
"Amtec 50Q6 - 50"" Android Smart TV, Inbuilt Decoder + WI-FI Netflix/YouTube/Bluetooth - Black (1YR WRTY)","KSh 33,160",No discount,No reviews
"Vision Plus 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,799",No discount,No reviews
"TCL 55"" P635 4K HDR Google TV - Black (1YR WRTY)","KSh 46,299",No discount,No reviews
Hikers Hikers 32'' Inch Frameless Android Smart HD LED TV - Black (1YR WRTY),"KSh 11,599",No discount,No reviews
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 19,199",No discount,No reviews
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 16,000",No discount,No reviews
"Skyworth F80215MB Front Load 8kg, Automatic Washer -  Tim Grey(1YR WRTY)","KSh 43,499",No discount,No reviews
"Nunix 20L Electric Rotisserie Oven, 1280W","KSh 5,520",No discount,No reviews
Hikers KE-MOW20LM-Microwave Oven – 20 Litres –700W- BLACK,"KSh 6,399",No discount,No reviews
"Sonar 2L Cordless Electric Kettle ,1500W Energy Efficient , 1 .5m Power Cord 1YR WRTY",KSh 699,No discount,No reviews
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 869,No discount,No reviews
"Nunix SC-001, 2 Burner Table Top Cooker","KSh 1,815",No discount,No reviews
Hisense 7.5kg Twin Tub Washing Machine (2YRS WRTY),"KSh 17,799",No discount,No reviews
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 22,000",No discount,No reviews
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,999",No discount,No reviews
